name_clean,id,label,description
General Magheru,Q973203,NA,NA
9 Mai,NA,NA,NA
Bâlea,NA,NA,NA
Constituției,NA,NA,NA
Abatorului,NA,NA,NA
Justiției,NA,NA,NA
Ceferiștilor,NA,NA,NA
Fochiștilor,NA,NA,NA
Vasile Aaron,Q783587,Vasile Aaron,Romanian poet and author
Alba Iulia,NA,NA,NA
Moldoveanu,NA,NA,NA
Gheorghe Dima,Q327241,George Dima,Romanian composer and director of church music
Semaforului,NA,NA,NA
Șoimului,NA,NA,NA
Electricienilor,NA,NA,NA
Malului,NA,NA,NA
Măsarilor,NA,NA,NA
Alexandru Ioan Cuza,Q294832,Alexandru Ioan Cuza,Prince of Wallachia and Moldavia (1820-1873)
Călugăreni,NA,NA,NA
Mirăslău,NA,NA,NA
Valea Mare,NA,NA,NA
Cibin,NA,NA,NA
Faurului,NA,NA,NA
Oștirii,NA,NA,NA
Mihai Viteazul,Q118755,Michael the Brave,"Romanian prince of Wallachia, Transylvania and Moldavia"
Hipodromului,NA,NA,NA
Mikhail V. Lomonosov,Q58720,Mikhail Vassilyevich Lomonosov,Russian polymath (1711-1765)
Geniștilor,NA,NA,NA
Luptei,NA,NA,NA
Târgul Fânului,NA,NA,NA
Râului,NA,NA,NA
Țiglarilor,NA,NA,NA
Simion Bărnuțiu,Q701594,Simion Bărnuţiu,Romanian academic (1808-1864)
Lungă,NA,NA,NA
Victoriei,NA,NA,NA
Tudor Arghezi,Q435755,Tudor Arghezi,Romanian writer
Mărășești,NA,NA,NA
Berăriei,NA,NA,NA
Cristian,NA,NA,NA
Dumbrăvii,NA,NA,NA
Rusciorului,NA,NA,NA
Maramureșului,NA,NA,NA
Popa Șapcă,Q12738350,Popa Șapcă,NA
Ion Neculce,Q897677,Ion Neculce,Moldavian chronicler
Morilor,NA,NA,NA
Constantin Noica,Q554497,Constantin Noica,"Romanian philosopher, essayist and poet"
Mare,NA,NA,NA
Cetății,NA,NA,NA
Manejului,NA,NA,NA
Nicolae Bălcescu,Q513394,Nicolae Bălcescu,Romanian journalist and historian (1819-1852)
Unirii,NA,NA,NA
Doctor Ioan Lupaș,Q6061817,NA,NA
Turnului,NA,NA,NA
Gheorghe Barițiu,Q445042,George Bariț,Romanian academic and politician (1812-1893)
Gheorghe Lazăr,Q952971,Gheorghe Lazăr,Romanian scholar
Filarmonicii,NA,NA,NA
Matei Millo,Q2900758,Matei Millo,Romanian playwright and actor
Felinarului,NA,NA,NA
Șurii Mici,NA,NA,NA
Georg Wilhelm Friedrich Hegel,Q9235,Georg Wilhelm Friedrich Hegel,German philosopher (1770–1831)
Bastionului,NA,NA,NA
Teatrului,NA,NA,NA
Corneliu Coposu,Q869137,Corneliu Coposu,Romanian politician (1914–1995)
Dimitrie Cantemir,Q159933,Dimitrie Cantemir,Prince of Moldavia
Banatului,NA,NA,NA
Tribunei,NA,NA,NA
Siretului,NA,NA,NA
Sibiel,NA,NA,NA
Theodor Mihaly,Q12742232,NA,NA
General Eremia Grigorescu,Q2915424,NA,NA
Ludoș,NA,NA,NA
Poiana,NA,NA,NA
Valea Aurie,NA,NA,NA
Poplăcii,NA,NA,NA
Iazului,NA,NA,NA
Munteniei,NA,NA,NA
Hațegului,NA,NA,NA
Vrancei,NA,NA,NA
Nicolae Beldiceanu,Q5421705,Nicolae Beldiceanu,Romanian writer
Ioan Slavici,Q961107,Ioan Slavici,Romanian writer
Călăreților,NA,NA,NA
Rahovei,NA,NA,NA
Arieșului,NA,NA,NA
Streiu,NA,NA,NA
Aurel Vlaicu,Q781514,Aurel Vlaicu,Romanian aviation pioneer
Titu Maiorescu,Q342564,Titu Maiorescu,"Romanian literary critic, writer and politician (1840-1917)"
Turismului,NA,NA,NA
16 Februarie,NA,NA,NA
Ștrandului,NA,NA,NA
Pompeiu Onofreiu,NA,NA,NA
Tipografilor,NA,NA,NA
Rennes,NA,NA,NA
Konrad Haas,Q95300448,Konrad Haas,NA
Nicolaus Olahus,Q497524,Nicolaus Olahus,Roman Catholic archbishop
Tălmaciu,NA,NA,NA
Profesor Doctor Ioan Moga,Q18541982,NA,NA
Olteniei,NA,NA,NA
Iosif Velceanu,Q98834972,Iosif Velceanu,"choir director, composer and teacher"
Băii,Q3571447,Yamamoto Baiitsu,Japanese painter (1783-1856)
Ion Rațiu,Q4357755,Ion Rațiu,Romanian newspaper editor
Avocat Ilie Măcelaru,Q12730321,NA,NA
Șerbotă,NA,NA,NA
Doctor Dumitru Bagdazar,Q18537650,NA,NA
Cerbului,NA,NA,NA
Fagului,NA,NA,NA
Ulmului,NA,NA,NA
Klagenfurt,NA,NA,NA
Frigoriferului,NA,NA,NA
Lăptăriei,NA,NA,NA
Iasomiei,NA,NA,NA
Trifoiului,NA,NA,NA
Grâului,NA,NA,NA
Ștefan Octavian Iosif,Q2062401,Ștefan Octavian Iosif,Romanian writer
Livezii,NA,NA,NA
Târgul Peștelui,NA,NA,NA
Ion Luca Caragiale,Q315132,Ion Luca Caragiale,"Romanian playwright, writer and poet"
Târgul Cailor,NA,NA,NA
Pielarilor,NA,NA,NA
Rotarilor,NA,NA,NA
Vopsitorilor,NA,NA,NA
Alexandru Xenopol,Q635387,Alexandru Dimitrie Xenopol,Romanian historian
Izvorului,NA,NA,NA
Simion Mehedinți,Q2069376,Simion Mehedinți,Romanian geographer
Forjorilor,NA,NA,NA
Topitorilor,NA,NA,NA
Podului,NA,NA,NA
Nicolae Teclu,Q652610,Nicolae Teclu,Romanian scientist
Grădinarilor,NA,NA,NA
Brutarilor,NA,NA,NA
Timotei Popovici,Q18547004,Timotei Popovici,Romanian priest and composer
Socului,NA,NA,NA
Alexandru Odobescu,Q2834296,Alexandru Odobescu,"Romanian author, archaeologist, and politician"
N.R. Korsakov,Q93227,NA,NA
Sălciilor,NA,NA,NA
Lupeni,NA,NA,NA
Ana Ipătescu,Q12720571,Ana Ipătescu,Participant in the Romanian Revolution of 1848
Abrud,NA,NA,NA
Frații Grachi,NA,NA,NA
Ștefan cel Mare,Q218134,Stephen III of Moldavia,Prince of Moldavia from 1457 to 1504
Nicolae Titulescu,Q781476,Nicolae Titulescu,Romanian diplomat and politician (1882-1941)
Oncești,NA,NA,NA
Șureanu,NA,NA,NA
Măgura,NA,NA,NA
Mică,NA,NA,NA
1 Decembrie 1918,NA,NA,NA
Biruinței,NA,NA,NA
Plugarilor,NA,NA,NA
Profesor Victor Lazăr,Q106425415,NA,NA
Triajului,NA,NA,NA
Anul 1907,NA,NA,NA
Băicoi,NA,NA,NA
Șerpuită,NA,NA,NA
Eftimie Murgu,Q833459,Eftimie Murgu,Romanian revolutionary (1805-1870)
Bucegi,NA,NA,NA
Locomotivei,NA,NA,NA
Scărilor,NA,NA,NA
Albert Huet,Q577820,Albert Huet,NA
Minciunilor,NA,NA,NA
Azilului,NA,NA,NA
Cetatenilor,NA,NA,NA
Argintarilor,NA,NA,NA
Aurarilor,NA,NA,NA
Târgului,NA,NA,NA
Movilei,NA,NA,NA
Gării,NA,NA,NA
Uzinei,NA,NA,NA
Mărăști,NA,NA,NA
Dorului,NA,NA,NA
Ioan Cătină,Q46485373,Ioan Catina,NA
Petuniei,NA,NA,NA
Granitului,NA,NA,NA
Metalurgiștilor,NA,NA,NA
Rășinari,NA,NA,NA
Sofocle,Q7235,Sophocles,ancient Greek playwright
Șelarilor,NA,NA,NA
Bărbierilor,NA,NA,NA
Școala de Înot,NA,NA,NA
Centumvirilor,NA,NA,NA
Pulberăriei,NA,NA,NA
Cisnădioara,NA,NA,NA
Seviș,NA,NA,NA
Călărașilor,NA,NA,NA
Caprelor,NA,NA,NA
Cantonului,NA,NA,NA
N.D. Cocea,Q328201,N. D. Cocea,Romanian journalist and activist (1880-1949)
Steflești,NA,NA,NA
Valea Frumoasei,NA,NA,NA
Muncel,NA,NA,NA
M. Viteazul,Q118755,NA,NA
Ogorului,NA,NA,NA
Frunzei,NA,NA,NA
Cluj,NA,NA,NA
Fântânele,NA,NA,NA
Țesătorilor,NA,NA,NA
Fabricii,NA,NA,NA
Someșului,NA,NA,NA
Vasile Milea,Q1365612,Vasile Milea,Romanian general and politician (1927-1989)
Valea Hotarului,NA,NA,NA
Săcel,NA,NA,NA
N. Beldiceanu,Q5421705,Nicolae Beldiceanu,Romanian writer
Litovoi Vodă,NA,NA,NA
Tălmăcel,NA,NA,NA
Colinei,NA,NA,NA
Eduard Albert Bieltz,Q987698,NA,NA
Pomicultorilor,NA,NA,NA
Lyon,Q3290305,"Marcus Ward Lyon, Jr.","U.S. mammalogist, bacteriologist, and pathologist (1875–1942)"
Căprioarelor,NA,NA,NA
Oborul de vite,NA,NA,NA
Căpriorilor,NA,NA,NA
Mărului,NA,NA,NA
Gutuilor,NA,NA,NA
Părului,NA,NA,NA
Vișinilor,NA,NA,NA
Fragilor,NA,NA,NA
Strugurilor,NA,NA,NA
Nucului,NA,NA,NA
Prunelor,NA,NA,NA
Ocnei,NA,NA,NA
Macului,NA,NA,NA
Aviator Gheorghe Bănciulescu,Q5556284,NA,NA
General Gheorghe Mărdărescu,Q15980107,NA,NA
Oslo,NA,NA,NA
Landshut,NA,NA,NA
Orhideelor,NA,NA,NA
Michelangelo,Q5592,Michelangelo,"Italian sculptor, painter, architect and poet (1475-1564)"
