ig_media_id,username,timestamp,like_count,comments_count,caption,media_product_type,media_type,permalink,timestamp_retrieved
17899022166016060,mchernus,2024-12-17T15:57:33+0000,340,29,"Köln 75!!! Man, I’m excited about this film we made last year in Germany!!! So many incredible people came together to tell this story and support our superstar director Ido Fluk and his vision. We have been slotted for a world premiere in the Berlinale Special Gala section. Köln 75 tells the true story of Vera Brandes, the teenage patron of the 1970s Cologne music scene, who organized Keith Jarrett’s legendary Köln Concert. It’s all jazz, man. JAZZ!!",FEED,IMAGE,https://www.instagram.com/p/DDr3FYDuoSM/,2025-01-18T15:26:05+0000
18045637928001653,mchernus,2024-10-07T02:12:48+0000,367,39,"In honor of World Cerebral Palsy Day, here is the trailer for “Out of My Mind” starring the incredibly talented phoeberaetaylorx in her impressive film debut. The movie is adapted from the best-selling YA novel of the same name by sharonmdraper and expertly directed by ambersealeyfilm. Available November 22nd on Disney Plus. Starring Phoebe Ray Taylor, Rosemarie DeWitt, Luke Kirby, Courtney A. Taylor, Judith Light, and yours truly.",REELS,VIDEO,https://www.instagram.com/reel/DAzi_JAN_ur/,2025-01-18T15:26:05+0000
18045286999963523,mchernus,2024-09-26T18:43:04+0000,708,48,"Nine years wedded. ✨
Eleven years together. 💫
Love you so, Emily. 💐",FEED,IMAGE,https://www.instagram.com/p/DAZA16cPMmV/,2025-01-18T15:26:05+0000
18028326896208895,mchernus,2024-08-27T20:11:05+0000,527,50,Wow what an unbelievable cast! I’m honored to be joined by these incredible actors. Huge thanks to everyone at Bowling / Miscia Casting for all of their work assembling this dream team.,FEED,IMAGE,https://www.instagram.com/p/C_L7ESyPRb_/,2025-01-18T15:26:05+0000
18112615435379818,mchernus,2024-07-10T14:15:50+0000,410,40,"Be the you you are 1/17/25
Severance Season 2 on Apple TV+",REELS,VIDEO,https://www.instagram.com/reel/C9Pr_b4OYF6/,2025-01-18T15:26:05+0000
17963004875640414,mchernus,2024-06-20T20:42:39+0000,1828,271,"“I’m both excited and humbled by this opportunity. The direction that the writers are taking with this project is important, focusing on the victims and their families as well as those who finally brought John Wayne Gacy to justice. While Gacy was the perpetrator of these horrific crimes, I’m relieved that he won’t be the main focus of the series. It’s heartbreaking for me to think of what his victims (all young men and boys) could have done with their lives had the system not failed them so tragically. I believe in the power of storytelling and hope that by telling this story, in a thoughtful way, we can play some part in preventing this from ever happening again.”",FEED,IMAGE,https://www.instagram.com/p/C8c4oAGv2Iu/,2025-01-18T15:26:05+0000
17953444490769521,mchernus,2024-04-06T23:41:31+0000,1244,97,"The best thing that ever happened to me happened a year ago today.

Happy 1st Birthday, June Louise. You are so much more than I ever could have imagined.
I’m so proud to be your DaDa.",FEED,IMAGE,https://www.instagram.com/p/C5cFebTuPuj/,2025-01-18T15:26:05+0000
17856219876107868,mchernus,2024-02-13T18:11:05+0000,784,69,"Dear Emily,

Just when I thought you couldn’t be any cooler. When I figured you were just about as amazing, powerful, insightful, wise, kind, loving, smart, and badass as one person could possibly be…you went and got even better. More expansive. More connected. More present. More loving.

You became a Mom. But not just any Mom. June’s Mom. And it’s your finest work yet. Your greatest role. A perfect fit. You are an UNBELIEVABLE mother.

I have watched your heart grow and grow and grow. It’s been thrilling to witness.

Happy 40th Birthday. We love you so very much. Thank God you were born.

Love,
Michael (& Junie)",FEED,IMAGE,https://www.instagram.com/p/C3TBh2pPDwm/,2025-01-18T15:26:05+0000
17990272373537840,mchernus,2024-01-20T22:02:55+0000,706,26,Thank you Sundance 2024!!! Always a hoot.,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/C2Vo-4ivmT7/,2025-01-18T15:26:05+0000
18016599092100040,mchernus,2024-01-18T23:36:01+0000,641,38,Happy 40th Sundance! My first Sundance film festival was in 2011 for “Higher Ground” directed by verafarmiga. Now I’m currently waiting at JFK for my very delayed flight to Salt Lake City to takeoff to celebrate “Out of My Mind” directed by ambersealeyfilm. Can’t wait to traipse around in the snow tomorrow once again. Love you Sundance!,FEED,IMAGE,https://www.instagram.com/p/C2QqDAluZbe/,2025-01-18T15:26:05+0000
18073988383433003,mchernus,2023-12-17T02:00:06+0000,260,11,Carol & the End of the World is streaming now on netflix and it’s awesome!! I had a ton of fun giving voice to Eric. Check it out!,REELS,VIDEO,https://www.instagram.com/reel/C077pmNNLMV/,2025-01-18T15:26:05+0000
18391174492022866,mchernus,2023-09-26T17:07:47+0000,1118,74,"8 years married. 
10 years together.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Cxqa_wFu5J_/,2025-01-18T15:26:05+0000
18026604421567824,mchernus,2023-09-14T23:13:24+0000,385,6,When in NYC 🍕,FEED,IMAGE,https://www.instagram.com/p/CxMLTLcOELc/,2025-01-18T15:26:05+0000
18204142684258514,mchernus,2023-09-12T16:58:22+0000,227,6,"Happy Birthday, Matthew William Chernus!",FEED,IMAGE,https://www.instagram.com/p/CxGWyk5O2ob/,2025-01-18T15:26:05+0000
17941851941664799,mchernus,2023-07-15T16:43:48+0000,613,43,"It was such an honor to be inducted into the beck.center Alumni Hall of Fame last night. From 1991-1995, I took drama classes at the Beck Center after school and on weekends. But it was so much more than that. During my time as a student at the Beck Center, I made lifelong friends, found a community of people (other kids like me) who I felt safe with & supported by, and I was set out on a path of artistic development that I am still on today.

Arts education for children and teens is so important. And, sadly, it is often undervalued and underfunded these days. Through studying drama and making theater at a young age I learned valuable life skills like collaboration, improvisation, creative thinking, teamwork, and self expression. My self confidence grew and my imagination expanded. But, perhaps most importantly, my empathy muscle began to grow. By inhabiting the life of a character in a play I learned how to see the world through someone else’s eyes. Walk a mile in their shoes, so to speak.

I owe a huge debt of gratitude to The Beck Center and it’s arts education programming. I simply would not be the person that I am today without Beck.

This is Beck Center’s 90th anniversary season. Last night I got to attend their annual Spotlight Gala with my parents, Dick & Barb, at gordongreenevents. It was a sweet and special evening for us. And I hope a lucrative fundraising event for beck.center! If you are looking for an arts education non-profit to support please consider making a tax deductible donation to this incredible place. It literally changed my life, as it has changed countless others.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CuuaOPlufMZ/,2025-01-18T15:26:05+0000
18048563089454274,mchernus,2023-07-12T04:54:30+0000,855,19,10 years ago today OITNB premiered on Netflix. And it forever changed the television landscape.  Thank you for letting me be a small part of your story. Orange family forever. #OITNB #orangeisthenewblack  #Netflix #netflixandchill,FEED,IMAGE,https://www.instagram.com/p/CulaqgOOqnq/,2025-01-18T15:26:05+0000
18027627496513385,mchernus,2023-05-14T15:46:31+0000,1101,27,"Happy 1st Mother’s Day to emsimmy and 45th Mother’s Day to nannychernus!!! I love you both very much. I wouldn’t be here and couldn’t do it without both of you.

And special special thanks to annawoodyall and danedehaan for the badass monogrammed robe for June!!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CsOqYYsugu6/,2025-01-18T15:26:05+0000
17904054056775889,mchernus,2023-05-05T16:47:04+0000,597,31,"MOLLI AND MAX IN THE FUTRE was the Opening Night Film last night at the Lower East Side Film Festival. We played to a sold out crowd at the beautiful, historic Village East Cinema (it was originally part of the former Yiddish Theatre District) which has a stunning interior with an unbelievably beautiful ceiling in the main theater.

The film is masterfully directed by the hugely talented michaellitwak with heartbreaking performances by our incredible lead actors zosiamamet and air_stotle 

This was my first night out on the town since Baby June was born (exactly 4 weeks prior to last night’s screening). Huge thanks to emsimmy and aprilpostpartum for helping facilitate Daddy taking the train down to the big city and being away from the nest for a night. Very grateful. It felt crazy and exhilarating and terrifying to be away from home and our little cocoon. 

And thanks to creemmag for my Lester Bangs t-shirt which I rocked proudly on the carpet. Thought of Lester all night, imagining him wandering the streets of Gotham and blaring “Let It Blurt” at cbgbofficial (and other East Village haunts) when they would let him up on stage.

Support indie films. Support small festivals that care about indie films like lesfilmfestival and others like it. Support artists and their weird beautiful brains. Most importantly support our writers and directors at every level. Without them we have no stories to tell or new worlds to explore. End of Ted Talk. Thank you.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/Cr3mKANOfOV/,2025-01-18T15:26:05+0000
17889195110767945,mchernus,2023-05-02T13:12:45+0000,217,2,NA,FEED,IMAGE,https://www.instagram.com/p/CrvfPw0OGHd/,2025-01-18T15:26:05+0000
18003466489730134,mchernus,2023-04-20T14:13:29+0000,617,31,"Dead Ringers. Tomorrow. 4/21.

All episodes available.

deadringers on primevideo",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CrQsqBaOaua/,2025-01-18T15:26:05+0000
17999623705694295,mchernus,2023-04-16T16:29:36+0000,1961,292,"June Louise Chernus
Born 4/6/23

She arrived with the full Pink Moon, a few days after her due date, fashionably late like any good New Yorker knows to do.

She holds our hearts in the palm of her hand.

We love her so.

Emily labored heroically and endured more than I ever could have. She summoned ancient reserves of power and strength and wisdom. I stand in awe, humbled and grateful.

Murray has been a patient, watchful, compassionate, and concerned big brother. 10/10 good boy.

We are a happy family.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CrGpDhOO6Aw/,2025-01-18T15:26:05+0000
18009742603588254,mchernus,2023-03-30T14:20:13+0000,424,15,Tom & Elliot #DeadRingers,FEED,IMAGE,https://www.instagram.com/p/Cqaou8vuQPf/,2025-01-18T15:26:05+0000
17949142547436476,mchernus,2023-03-29T21:56:41+0000,192,10,"DEAD RINGERS TRAILER
Stream 4/21 primevideo",REELS,VIDEO,https://www.instagram.com/reel/CqY1roNPDkl/,2025-01-18T15:26:05+0000
18213597349175446,mchernus,2023-03-01T22:19:44+0000,293,24,"🩸💉🩸
04/21/23",FEED,IMAGE,https://www.instagram.com/p/CpQ0jt-Oxr7/,2025-01-18T15:26:05+0000
18034252093448087,mchernus,2023-02-28T18:59:15+0000,375,10,Ensemble,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CpN40Z6uKfU/,2025-01-18T15:26:05+0000
17946636212583179,mchernus,2023-02-28T03:35:30+0000,1212,91,"Oh what a night! Had an amazing time celebrating at the sagawards with my ride-or-die bestie patchdarragh by my side.

The cast of SEVERANCE was nominated for Best Ensemble in a Drama Series and it was an incredible honor to be recognized by our peers in sagaftra. I love actors so much and got to see so many of my faves last night including some dear old friends.

Profound gratitude, as always, to my stylist the_jorgemorales who makes me feel handsome and fancy (even though I usually wear flannels and gratefuldead t-shirts at home).
Deepest thanks to beautybycrystal for her grooming skills, making my face and hair look good.
And big appreciation and love to ralphlauren for the tuxedo, davidyurman for the bracelet, and omega for the watch. Also shirt by boss and bow tie by paulsmithdesign",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/CpMPGqSuNlx/,2025-01-18T15:26:07+0000
17975299589010607,mchernus,2023-02-13T19:41:53+0000,343,34,"HAPPY BIRTHDAY, EMILY!!!!",FEED,IMAGE,https://www.instagram.com/p/ConVxk3PqSR/,2025-01-18T15:26:07+0000
17880116531800039,mchernus,2023-02-05T04:42:16+0000,820,80,"Once a Tavner, always a Tavner.",FEED,IMAGE,https://www.instagram.com/p/CoRIdjMu7Ao/,2025-01-18T15:26:07+0000
