ig_media_id,username,timestamp,like_count,comments_count,caption,media_product_type,media_type,permalink,timestamp_retrieved
18024262217635032,mradamscott,2025-01-14T18:25:18Z,3001,39,"On The Severance Podcast today, kristenanniebell & daxshepard drop by to share the many abusive voice memos they harassed me with over the past few years.",REELS,VIDEO,https://www.instagram.com/reel/DE0N0LBS-W6/,2025-01-18T15:07:34Z
17965342907833226,mradamscott,2025-01-09T08:20:48Z,1847,17,Shelters & Animal Shelters for EATON FIRE,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEmRGJuRD-X/,2025-01-18T15:07:34Z
18255584044287648,mradamscott,2025-01-09T08:19:04Z,3364,26,Shelters & Animal Shelters for Palisades Fire,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEmQ5cJxJKq/,2025-01-18T15:07:34Z
18313705438164200,mradamscott,2025-01-03T17:32:52Z,3979,42,"If you’ve got a question about Severance, call our hotline! We just might play your voicemail and answer your question on the podcast. 

The Severance Podcast with Ben Stiller & Adam Scott will be available on Apple Podcasts and everywhere you get your podcasts on January 6th.",REELS,VIDEO,https://www.instagram.com/reel/DEXy3cIRtNd/,2025-01-18T15:07:34Z
18118662523423528,mradamscott,2025-01-02T21:57:36Z,24958,168,"Thanks to newyorkermag & rachsyme for my profile in the latest issue of The New Yorker - an enormous honor to say the least. 

Photo elizabethrenstrom 
Styling ilariaurbinati 
HMU hairbydarbie",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEVtAe9yWrZ/,2025-01-18T15:07:34Z
18023425184549788,mradamscott,2024-12-17T23:00:16Z,19705,92,"I ❤️ therealjimoheir, and there’s no better gift to give this holiday season than Jim’s book WELCOME TO PAWNEE, as you can see from this candid photo I did not take myself. 

Jim’s stories from the set of parksandrec are hilarious, heartfelt, and expertly told. Took me right back and made me miss everyone all over again. Congrats Jim!",FEED,IMAGE,https://www.instagram.com/p/DDsndZYyi9Z/,2025-01-18T15:07:34Z
17959603418835084,mradamscott,2024-12-08T18:00:13Z,14096,159,"Thanks for having all of us from Severance, ccxpoficial! 
And thank you BRAZIL! ❤️❤️❤️",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DDU599WyCn7/,2025-01-18T15:07:34Z
18060184801853440,mradamscott,2024-12-07T23:38:29Z,16138,140,"Season 2, Jan 17",FEED,IMAGE,https://www.instagram.com/p/DDS74lEy3bZ/,2025-01-18T15:07:34Z
18026114426610904,mradamscott,2024-12-04T19:33:10Z,43132,475,"First look at S2 of Severance in vanityfair…

Jan 17 
appletv",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DDKxbODSC5P/,2025-01-18T15:07:34Z
18050569042798256,mradamscott,2024-11-05T17:11:15Z,97603,1125,"Mr Paul Rudd in PA getting out the vote for kamalaharris!
Don’t forget your rights today, be patient if need be, and vote!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DB_2IXwy-gb/,2025-01-18T15:07:34Z
17869687347217460,mradamscott,2024-10-29T23:43:29Z,6368,30,❤️,FEED,IMAGE,https://www.instagram.com/p/DBuhdErSAmG/,2025-01-18T15:07:34Z
17861897616204228,mradamscott,2024-10-29T02:18:49Z,59800,3007,NA,FEED,IMAGE,https://www.instagram.com/p/DBsOb21xZ13/,2025-01-18T15:07:34Z
18339954358178560,mradamscott,2024-10-27T23:07:57Z,34938,551,"Me, aoc, edhelms, and an extremely tall woman spoke to folks heading out to canvass in Philly PA for kamalaharris & timwalz — the energy was fantastic and the beer was top-notch thanks to philadelphiabrewing!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DBpTzJnSXmc/,2025-01-18T15:07:34Z
17978583410772448,mradamscott,2024-10-25T21:37:31Z,33592,1419,"A vote for Trump is a vote against women & girls and their fundamental rights.

It’s time to turn the page.
Vote kamalaharris",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DBj_2-Sz_IY/,2025-01-18T15:07:34Z
18043052687498168,mradamscott,2024-10-14T18:25:49Z,46904,471,"I am proud to be my daughter’s dad, and am committed to fighting for the rights of girls and women everywhere. Unfortunately those rights are no longer guaranteed in our country, unless kamalaharris & timwalz win this election. 
Make sure you are registered to vote.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DBHVLRGy06q/,2025-01-18T15:07:34Z
17900007159058476,mradamscott,2024-10-01T01:15:34Z,76397,394,Felt right at home in Ann Arbor MI,FEED,IMAGE,https://www.instagram.com/p/DAkA8I0Sf3r/,2025-01-18T15:07:34Z
17927870054928216,mradamscott,2024-08-30T23:55:09Z,18751,102,"The insanely talented Alice Tapper’s new children’s book USE YOUR VOICE is incredible—it has an important message for kids to advocate for themselves with doctors, at hospitals, and in life! Available on Amazon & wherever books are sold!",FEED,IMAGE,https://www.instagram.com/p/C_UDGE7StI_/,2025-01-18T15:07:34Z
18116100136380792,mradamscott,2024-07-31T23:28:44Z,7683,744,Let’s,REELS,VIDEO,https://www.instagram.com/reel/C-GwK1zyV2t/,2025-01-18T15:07:34Z
17973923465716144,mradamscott,2024-06-14T19:55:45Z,17053,303,I was honored to be part of a conversation with secondgentleman Doug Emhoff and fellow male allies about the vital importance of women’s reproductive rights. The damage done by Dobbs has been catastrophic—we need to stand with women to restore & protect their access to fundamental health care.,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/C8NWfQCyAZR/,2025-01-18T15:07:34Z
18052399834647800,mradamscott,2024-06-07T15:26:14Z,5102,163,"As an actor, I have one job–to do my best to become the character I’m playing. As a father, it’s to embarrass my children. Thanks to PhilipsNorelco, I can achieve any facial hair look I want so that I can do both. #PhilipsPartner",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/C762FIGxrCy/,2025-01-18T15:07:34Z
18056316394549132,mradamscott,2024-05-18T00:33:19Z,12218,49,"Holy shit no biggie paulscheer wrote a book, threw a party, put a tear in everyone’s eye. 
Lovely writer, lovely guy. 
Read #JoyfulRecollectionsOfTrauma asap!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/C7Fv_txRbQj/,2025-01-18T15:07:34Z
17951472944664966,mradamscott,2024-04-26T19:38:17Z,19232,332,Could not be more excited to work with this unbelievable cast and incredible team…,FEED,IMAGE,https://www.instagram.com/p/C6PJiY2x1jo/,2025-01-18T15:07:34Z
