ig_media_id,username,timestamp,like_count,comments_count,caption,media_product_type,media_type,permalink,timestamp_retrieved
18083545180517570,surefineokay,2025-01-17T14:02:46+0000,914,35,Severance S2 episode 1 is now streaming on appletv . So proud of everyone who makes this show. 💧💙,FEED,IMAGE,https://www.instagram.com/p/DE7el1JphNk/,2025-01-18T15:16:06+0000
18084654361507437,surefineokay,2025-01-17T03:18:25+0000,730,32,"Severance Season 2 is out and I spoke to Neil deGrasse Tyson about the philosophical inconsistencies of monotheism, BYE",FEED,IMAGE,https://www.instagram.com/p/DE6U2bENErE/,2025-01-18T15:16:06+0000
18092182114524088,surefineokay,2025-01-15T16:10:14+0000,571,28,"Alexa, play “Enough is Enough” by Barbra Streisand and Donna Summer remastered radio edit",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DE2jlnCpQn8/,2025-01-18T15:16:06+0000
18117056749425864,surefineokay,2025-01-14T18:59:52+0000,114,3,if I had a nickel,REELS,VIDEO,https://www.instagram.com/reel/DE0SD1IJMD5/,2025-01-18T15:16:06+0000
18255299341274174,surefineokay,2025-01-12T03:49:42+0000,678,11,"Please see rmorrison ‘s caption here re: the incarcerated youth fighting these fires. antirecidivismcoalition is setting up a scholarship fund for them, details on the last slide. 

My heart is with everyone touched by this unthinkable devastation. ❤️",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEtgdKdtfu8/,2025-01-18T15:16:06+0000
17858782683273641,surefineokay,2025-01-09T18:58:25+0000,707,21,NA,FEED,IMAGE,https://www.instagram.com/p/DEnaEKEpVQp/,2025-01-18T15:16:06+0000
18032061044594550,surefineokay,2025-01-08T21:11:15+0000,502,4,"my friends, my heart is with you 💔",FEED,IMAGE,https://www.instagram.com/p/DElEeOiJa4g/,2025-01-18T15:16:06+0000
18024330809632961,surefineokay,2025-01-08T01:57:37+0000,56,5,NA,FEED,IMAGE,https://www.instagram.com/p/DEjAcwypT0p/,2025-01-18T15:16:06+0000
18074990086715540,surefineokay,2025-01-07T20:57:25+0000,89,4,bit of a poet myself,REELS,VIDEO,https://www.instagram.com/reel/DEid-9qJkbV/,2025-01-18T15:16:06+0000
18101513923470986,surefineokay,2025-01-06T20:32:31+0000,142,7,resisting change etc.,REELS,VIDEO,https://www.instagram.com/reel/DEf2agBpMFa/,2025-01-18T15:16:06+0000
17915876039947759,surefineokay,2025-01-06T17:38:00+0000,70,5,follies!! gaieties!!,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEfiehop9lq/,2025-01-18T15:16:06+0000
18090959836525865,surefineokay,2025-01-04T13:49:29+0000,87,1,78 years young,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEZ-vK3ph3n/,2025-01-18T15:16:06+0000
17916728034041232,surefineokay,2025-01-03T17:51:00+0000,338,12,twenty t w e n t y five,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEX1lPCpN3w/,2025-01-18T15:16:06+0000
18067741096757737,surefineokay,2024-12-31T21:55:36+0000,162,14,I guess cheers,REELS,VIDEO,https://www.instagram.com/reel/DEQi84gJTU7/,2025-01-18T15:16:06+0000
17899245951098125,surefineokay,2024-12-30T15:50:33+0000,394,6,"Eggshell, my pandemic pet project, is getting an update in 2025. More soon but link in bio to watch all shorts now 💋

•Photo by the always brilliant jtippet 
•Written, Produced, Directed, Art Directed by me",FEED,IMAGE,https://www.instagram.com/p/DENUngUJhlD/,2025-01-18T15:16:06+0000
18069881701686174,surefineokay,2024-12-30T01:03:52+0000,230,19,I can be your hero baby,REELS,VIDEO,https://www.instagram.com/reel/DELuunbJLBX/,2025-01-18T15:16:06+0000
18050436610893235,surefineokay,2024-12-29T20:21:57+0000,186,4,"we made it, mama",FEED,IMAGE,https://www.instagram.com/p/DELO4cLpnCO/,2025-01-18T15:16:06+0000
17959246913738122,surefineokay,2024-12-26T02:02:14+0000,378,11,"terrorizing family with Streisand karaoke, cherished time with loved ones, etc.",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEBipJrp6EL/,2025-01-18T15:16:06+0000
