ig_media_id,username,timestamp,like_count,comments_count,caption,media_product_type,media_type,permalink,timestamp_retrieved
17866733523295978,yuluminati,2025-01-17T17:00:17+0000,521,71,LUCIA))) thank you margaret_cho,FEED,IMAGE,https://www.instagram.com/p/DE7y5-cJotS/,2025-01-18T15:16:13+0000
18121414474414012,yuluminati,2025-01-17T15:25:46+0000,42,4,NA,REELS,VIDEO,https://www.instagram.com/reel/DE7hwIFJ1nL/,2025-01-18T15:16:13+0000
17931822053871449,yuluminati,2025-01-14T07:16:44+0000,502,27,NA,REELS,VIDEO,https://www.instagram.com/reel/DEzBnWlu-er/,2025-01-18T15:16:13+0000
18033419900436964,yuluminati,2025-01-10T21:02:05+0000,364,13,NA,REELS,VIDEO,https://www.instagram.com/reel/DEqM0wvJ0YK/,2025-01-18T15:16:13+0000
18050166827512790,yuluminati,2025-01-08T14:20:37+0000,480,18,Do kind things. Be a force for good.,REELS,VIDEO,https://www.instagram.com/reel/DEkVWmYp7Z2/,2025-01-18T15:16:13+0000
17967379397828785,yuluminati,2025-01-08T14:01:20+0000,9421,154,"GOLD)))
🙌🙌🙌",REELS,VIDEO,https://www.instagram.com/reel/DEkTLcCJ5e8/,2025-01-18T15:16:13+0000
18327816073084423,yuluminati,2025-01-07T00:33:54+0000,227,61,"🌹🌹🌹)))
#cloudburst",REELS,VIDEO,https://www.instagram.com/reel/DEgR3ulJ4eU/,2025-01-18T15:16:13+0000
18043791008234843,yuluminati,2025-01-05T00:35:40+0000,66,8,"HARD TRUTHS
See this movie. See this EXTRAORDINARY performance by miss.lotusb",FEED,IMAGE,https://www.instagram.com/p/DEbIr87pqQY/,2025-01-18T15:16:13+0000
17880491787123383,yuluminati,2025-01-02T05:13:11+0000,357,29,Thanks lazulita,REELS,VIDEO,https://www.instagram.com/reel/DET56C6uo1x/,2025-01-18T15:16:13+0000
18082314142575490,yuluminati,2024-12-30T17:42:15+0000,336,18,"🙏🏼🙏🏼🙏🏼 

Repost from bhamprogressive
•
This one really, really hurts.  RIP Jimmy Carter.  We didn’t deserve you.",FEED,IMAGE,https://www.instagram.com/p/DENhZmHpDfL/,2025-01-18T15:16:13+0000
18151793965342885,yuluminati,2024-12-27T16:51:53+0000,363,18,"BLOODY AXE WOUND))) ❤️❤️❤️🙌🙌🙌 
Repost from hilarieburton
•
Our family made a movie that is in theaters TODAY!
BLOODY AXE WOUND🩸🪓🐺
I’m gonna try to get my act together and go live on here in a little bit. That way I can read off the whole list of theaters that are playing in the movie. It’s in the hundreds, so chances are there’s something near you! 

But just wanted to say that for our family, this first feature from themischieffarm Productions  was a helluva adventure. I’ll keep posting pictures from behind the scenes. But this night in particular was really magical. Our kids have been on sets since infancy. (Seriously, how do they not have union cards yet?!?!) Going to work with mom or dad is kinda the norm. But this was special because our movie was being shot in our town and was being produced by our dearest friends, and stars uncle Billy Burke. It was a labor of love. 
Gus always said he wanted to work in film, and this experience really sealed the deal. Special thanks to tonycoonfilms for being such a great mentor to him on set. 

Alright, now it’s YOUR turn to be a part of the themischieffarm family. 

Go to https://bloodyaxewound.movie/ and call your friends! Tonight, you’re gonna get a show!",FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DEFtQHOJwYG/,2025-01-18T15:16:13+0000
17952542129862780,yuluminati,2024-12-27T06:52:43+0000,178,24,NA,REELS,VIDEO,https://www.instagram.com/reel/DEEoqvhukTG/,2025-01-18T15:16:13+0000
18211492360294760,yuluminati,2024-12-26T07:18:13+0000,454,42,🔥🔥🔥🔥🔥🔥🔥,FEED,CAROUSEL_ALBUM,https://www.instagram.com/p/DECGzkKOnBI/,2025-01-18T15:16:13+0000
18050589680070294,yuluminati,2024-12-20T15:32:58+0000,782,61,🙏🏼🙏🏼🙏🏼,REELS,VIDEO,https://www.instagram.com/reel/DDzijw3Jzbc/,2025-01-18T15:16:13+0000
18041001680260527,yuluminati,2024-12-17T21:08:40+0000,363,50,))),FEED,IMAGE,https://www.instagram.com/p/DDsasBCJoZm/,2025-01-18T15:16:13+0000
18110947450441437,yuluminati,2024-12-16T18:33:46+0000,246,24,🙌🙌🙌))),REELS,VIDEO,https://www.instagram.com/reel/DDpkHzkpHf_/,2025-01-18T15:16:13+0000
18019494419361839,yuluminati,2024-12-16T08:13:01+0000,52,9,🙏🙏🙏🙏🙏🙏🙌🙌🙌🙌🙌🙌🙌🙌,REELS,VIDEO,https://www.instagram.com/reel/DDodA0WuQcy/,2025-01-18T15:16:13+0000
18049088060112481,yuluminati,2024-12-16T07:51:13+0000,116,8,🙌🙌🙌🙏🙏🙏 so proud of you isabellarossellini  love you!!!!!,REELS,VIDEO,https://www.instagram.com/reel/DDoafI_O23A/,2025-01-18T15:16:13+0000
17857229715324787,yuluminati,2024-12-13T20:13:48+0000,330,30,#fact 🙌🙌🙌,REELS,VIDEO,https://www.instagram.com/reel/DDiBIfUJZBr/,2025-01-18T15:16:13+0000
18091798465503065,yuluminati,2024-12-11T19:52:46+0000,132,9,"Proud of you my brother. markfeuerstein Repost from mauricecompte
•
markfeuerstein as #burton is #gold hotelcocainemgm check out the full article on indiewire  and watch #HotelCocaine on primevideo  and mgmplus",FEED,IMAGE,https://www.instagram.com/p/DDc1O6aJU0o/,2025-01-18T15:16:13+0000
17931254894969065,yuluminati,2024-12-11T03:42:55+0000,149,36,"fender rweaverfx 🫶🫶🫶
#violetvibe #stratocaster #sparkle #gold",REELS,VIDEO,https://www.instagram.com/reel/DDbFwCNtU2C/,2025-01-18T15:16:13+0000
18077752000612025,yuluminati,2024-12-11T02:27:10+0000,181,17,NA,REELS,VIDEO,https://www.instagram.com/reel/DDa9bv0ptKu/,2025-01-18T15:16:13+0000
18052541200984791,yuluminati,2024-12-09T06:13:17+0000,116,9,🙌🙌🙌💪💪💪,REELS,VIDEO,https://www.instagram.com/reel/DDWNtl3u9y5/,2025-01-18T15:16:13+0000
17905883394068528,yuluminati,2024-12-07T19:19:36+0000,494,38,"My brother from another mother)))
🙏🏼🙏🏼🙏🏼",FEED,IMAGE,https://www.instagram.com/p/DDSeQeoJpTd/,2025-01-18T15:16:13+0000
18013583201463366,yuluminati,2024-12-03T05:16:33+0000,41,3,Beautiful,REELS,VIDEO,https://www.instagram.com/reel/DDGqgcCu7gn/,2025-01-18T15:16:13+0000
18034386800519050,yuluminati,2024-11-30T17:52:04+0000,251,55,Untitled))) 90 x 114’  #canvas #acrylic #oilstick #crayon #charcoal #krink,FEED,IMAGE,https://www.instagram.com/p/DDASrM6JS41/,2025-01-18T15:16:15+0000
