city,country,hot_temperature,temperature_diff,avg_20th_cent,avg_21st_cent,hot_days_avg_20th_cent,hot_days_avg_21st_cent,freeze_days_avg_20th_cent,freeze_days_avg_21st_cent,school_hot_days_avg_20th_cent,school_hot_days_avg_21th_cent,lat,lon,size,climate_zone
A Coruña,ES,20,0.4115,14.066,14.478,7.75,11.833,0,0,0,0.056,43.1538815,-8.580941805,,Mediterranean
Aachen,DE,23,0.8979,9.521,10.419,2.68,6.333,22.42,14.278,0.43,1.833,50.776351,6.083862,,Oceanic
Aalborg,DK,21,1.0395,7.914,8.954,1.05,4.333,32.55,24.056,0,0.056,57.0482206,9.9193939,,Oceanic
Aarhus,DK,21,1.2187,7.636,8.854,0.97,4.778,37.85,24.889,0,0.111,56.1496278,10.2134046,big,Oceanic
Aberdeen City,GB,17,0.393,8.692,9.085,3.29,7.944,2.3,2.222,0,0,57.15554295,-2.167945912,,Oceanic
Ajaccio,FR,26,1.0764,15.23,16.306,1.73,14.444,0.03,0,4.11,11.389,41.9263991,8.7376029,,Mediterranean
Alba Iulia,RO,25,1.1343,7.972,9.107,0.27,2.056,61.1,51.333,0.46,2.889,46.0687385,23.5704398,,Oceanic
Albacete,ES,27,1.1259,13.791,14.917,2.96,6.389,1.24,0.389,3.3,7.833,38.9951049,-1.8559613,,Semi-arid
Albi,FR,24,1.0259,11.052,12.078,4.18,11.444,10.07,7.722,1.26,4.944,43.9277552,2.147899,,Oceanic
Alcalá de Henares,ES,27,1.3571,12.241,13.598,2.44,12.889,5.32,1.944,1.95,8,40.4818396,-3.3644973,,Mediterranean
Alcoy,ES,27,0.9542,15.065,16.019,3.95,3.833,0.24,0.056,4.41,8.778,38.6982275,-0.4747767,,Mediterranean
Alessandria,IT,26,1.1968,10.764,11.961,0.45,2.778,22.15,9.722,0.42,2.167,44.9129225,8.615321,,Mediterranean
Algeciras,ES,26,0.7042,17.42,18.124,4.12,8.111,0,0,5.2,9.833,36.1310804,-5.4487055,,Mediterranean
Alicante,ES,30,0.9702,17.086,18.056,1.6,1.278,0.01,0,12.84,20.944,38.353738,-0.4901846,big,Semi-arid
Almería,ES,28,0.7352,18.075,18.81,0.55,5.722,0,0,7.83,20.056,36.8414197,-2.4628135,,Semi-arid
Altamura,IT,28,0.8335,14.961,15.794,2.56,8.944,0.41,0.333,5.55,7.222,40.8283631,16.5523505,,Humid subtropical
Amiens,FR,22,0.9269,10.178,11.105,4.1,6.389,13.05,7.778,0.27,1.056,49.8941708,2.2956951,,Oceanic
Amsterdam,NL,21,0.9357,9.762,10.698,2.29,6.389,11.86,6.833,0.01,0.444,52.3745403,4.897975506,bigger,Oceanic
