City,date,temperature
A Coruña,1900-01-01,14.187
A Coruña,1901-01-01,13.289
A Coruña,1902-01-01,13.477
A Coruña,1903-01-01,13.464
A Coruña,1904-01-01,13.851
A Coruña,1905-01-01,13.375
A Coruña,1906-01-01,13.873
A Coruña,1907-01-01,13.455
A Coruña,1908-01-01,13.936
A Coruña,1909-01-01,13.453
A Coruña,1910-01-01,13.5
A Coruña,1911-01-01,13.831
A Coruña,1912-01-01,13.642
A Coruña,1913-01-01,13.532
A Coruña,1914-01-01,13.866
A Coruña,1915-01-01,14.092
A Coruña,1916-01-01,14.089
A Coruña,1917-01-01,13.441
A Coruña,1918-01-01,14.432
A Coruña,1919-01-01,14.199
A Coruña,1920-01-01,14.457
A Coruña,1921-01-01,14.588
A Coruña,1922-01-01,13.88
A Coruña,1923-01-01,13.623
A Coruña,1924-01-01,13.844
A Coruña,1925-01-01,13.395
A Coruña,1926-01-01,14.462
A Coruña,1927-01-01,13.874
A Coruña,1928-01-01,14.432
A Coruña,1929-01-01,14.352
A Coruña,1930-01-01,13.901
A Coruña,1931-01-01,13.891
A Coruña,1932-01-01,13.931
A Coruña,1933-01-01,14.023
A Coruña,1934-01-01,13.834
A Coruña,1935-01-01,13.711
A Coruña,1936-01-01,14.048
A Coruña,1937-01-01,14.419
A Coruña,1938-01-01,14.2
A Coruña,1939-01-01,14.197
A Coruña,1940-01-01,14.015
A Coruña,1941-01-01,13.78
A Coruña,1942-01-01,14.278
A Coruña,1943-01-01,14.559
A Coruña,1944-01-01,14.157
A Coruña,1945-01-01,14.613
A Coruña,1946-01-01,14.109
A Coruña,1947-01-01,14.602
A Coruña,1948-01-01,14.894
A Coruña,1949-01-01,15.174
A Coruña,1950-01-01,14.508
A Coruña,1951-01-01,13.724
A Coruña,1952-01-01,14.232
A Coruña,1953-01-01,14.106
A Coruña,1954-01-01,13.671
A Coruña,1955-01-01,14.619
A Coruña,1956-01-01,13.177
A Coruña,1957-01-01,14.158
A Coruña,1958-01-01,13.976
A Coruña,1959-01-01,14.607
A Coruña,1960-01-01,14.018
A Coruña,1961-01-01,14.802
A Coruña,1962-01-01,13.958
A Coruña,1963-01-01,13.696
A Coruña,1964-01-01,14.196
A Coruña,1965-01-01,13.832
A Coruña,1966-01-01,14.332
A Coruña,1967-01-01,13.771
A Coruña,1968-01-01,14.286
A Coruña,1969-01-01,13.799
A Coruña,1970-01-01,13.841
A Coruña,1971-01-01,13.749
A Coruña,1972-01-01,13.4
A Coruña,1973-01-01,13.77
A Coruña,1974-01-01,13.489
A Coruña,1975-01-01,13.828
